,COD_ID,geometry,CTMT,UNI_TR_D,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,eu_dis_untrs,eu_dis_nfe,main_r_dist,secondary_r_dist,NODE,ENDNODE,g_degree,g_avg_ndeg,g_pagerank,dist_to_trs,COMP,R,X,impedancia,angulo_impedancia,GRU_TAR_2,GRU_TAR_3,DIC_above,FIC_above
0,26877970,POINT (-42.59528120976 -22.19312032804066),27117490,26877970,14.95,7.0,0.6177111716621253,0.005346441580823313,27707625,0,POINT (129221.519942725 7541398.949392447),POINT (137043.7351078072 7537448.538676368),0.3973855779729309,0.41016905197312115,0.2306313683461649,0.2928284314011551,27149276,27707667,0.0,0.7142857142857142,0.028394461027028473,0.4019463736309358,0.38962201436180677,0.38273014277007106,0.37388209956077884,0.3802110312444269,0.546178242083506,0,0,0,0
1,26877971,POINT (-42.59618383951255 -22.19249262643353),27117490,26877971,49.56,11.0,0.36648501362397823,0.00264384473776977,27707625,0,POINT (129126.6927204346 7541466.315646793),POINT (137043.7351078072 7537448.538676368),0.40261760575036126,0.41375779608035046,0.23259730356748423,0.2849512104892996,27149277,27707667,0.0,0.7142857142857142,0.028394461027028473,0.4036686058091228,0.3912879017993125,0.3865713624216614,0.3756659275038436,0.3834900042436211,0.5438584111520325,0,0,0,0
2,26877972,POINT (-42.59799751936998 -22.19074075518165),27117490,26877972,173.06,41.0,0.1938010899182561,0.01014453017899808,27707625,0,POINT (128934.8595081199 7541656.057488872),POINT (137043.7351078072 7537448.538676368),0.41432073781172685,0.4225358705137614,0.23587153551851134,0.27073656028693804,27149521,27707667,0.3333333333333333,0.14285714285714285,0.35910736593730685,0.41802418366204674,0.40517382096062865,0.4185896515100928,0.39053493369082964,0.41089620137637667,0.5259616817046494,0,0,0,0
3,26877973,POINT (-42.60002467849608 -22.1856605227149),27117490,26877973,75.11,24.0,0.3019981834695731,0.006697740002350084,27707625,0,POINT (128712.2185188376 7542214.209123233),POINT (137043.7351078072 7537448.538676368),0.4353675530408477,0.44224828749612805,0.23465923717687576,0.26542695646390385,27132174,27707667,0.0,0.42857142857142855,0.04360744024725888,0.4347915502954118,0.4213926245507353,0.45598712847821454,0.40790198646747455,0.44305133168171645,0.5078629291298546,0,0,0,0
4,26877977,POINT (-42.60091921614884 -22.21268851456324),27117490,26877977,125.36,20.0,0.12302452316076294,0.0025263405272022248,27707625,0,POINT (128691.109056208 7539216.068572627),POINT (137043.7351078072 7537448.538676368),0.38712649855792275,0.36185372341840183,0.17919789514226872,0.28391933252225093,27162189,27707667,0.0,0.14285714285714285,0.1015474536353102,0.3702656705511892,0.3589777807094904,0.28425892982852585,0.34222670209224093,0.30144844498116863,0.6429178192675262,0,0,0,0
5,26877978,POINT (-42.59369484793882 -22.17809184456291),27117490,26877978,115.5,48.0,0.16589464123524073,0.012866711057146214,27707625,0,POINT (129345.7679155234 7543068.672067527),POINT (137043.7351078072 7537448.538676368),0.4323213071622862,0.4563679129562882,0.20004958109144855,0.35385659327946295,27157351,27707667,0.3333333333333333,0.14285714285714285,0.38460588999821643,0.4626471168449475,0.44833686526764455,0.4982139735556953,0.4357516822843973,0.48157035989808317,0.49829227723906644,0,0,0,0
6,26877979,POINT (-42.61973201891749 -22.19542990126888),27117490,26877979,61.11,22.0,0.5009990917347865,0.011632916846186987,27707625,0,POINT (126703.6386318742 7541082.82982635),POINT (137043.7351078072 7537448.538676368),0.4973148848354699,0.45242264078112177,0.18793237051912715,0.0560478447801864,27147741,27707667,0.3333333333333333,0.14285714285714285,0.40993270914433544,0.8022595947677835,0.7782012591194365,0.504389041819666,0.7350412242401408,0.5778542652684475,0.7357576077800408,0,0,0,0
7,26877980,POINT (-42.62382094308202 -22.19409776969627),27117490,26877980,112.05,53.0,0.44150772025431423,0.03523167913516901,27707625,0,POINT (126278.0180407782 7541220.401149627),POINT (137043.7351078072 7537448.538676368),0.5176535302124339,0.4653774910139394,0.18737959935602555,0.020134374518369313,27153185,27707667,0.3333333333333333,0.14285714285714285,0.3590941041019695,0.7827506948090593,0.7593306145150558,0.46087692373739236,0.7132524118140126,0.5429756368514209,0.7657303855865232,1,0,0,0
8,26877981,POINT (-42.62130346997913 -22.19768297458955),27117490,26877981,76.41,19.0,0.3961852861035422,0.010888723512592534,27707625,0,POINT (126547.3938686238 7540829.204035458),POINT (137043.7351078072 7537448.538676368),0.5003690085500703,0.44969476650378076,0.17649610000019922,0.0429877762331325,27147290,27707667,0.0,0.14285714285714285,0.09631047963111516,0.80988581381827,0.7855779779339964,0.5213983526751282,0.7435586832851497,0.5916184002409532,0.725004306862168,0,0,0,0
9,26877982,POINT (-42.6251575271981 -22.19450695673061),27117490,26877982,36.36,16.0,0.4161671207992734,0.017410207199091303,27707625,0,POINT (126141.1302697743 7541171.742058468),POINT (137043.7351078072 7537448.538676368),0.5228141033467962,0.4673077020924155,0.18405050573780515,0.0065879963514272975,27153461,27707667,0.3333333333333333,0.28571428571428564,0.3273815142274732,0.7785076073800693,0.755226344409248,0.45141325732697196,0.7085134549126223,0.5354595088482788,0.772763626500645,0,0,0,0
10,26877983,POINT (-42.62642579701287 -22.19403790092832),27117490,26877983,46.93,21.0,0.35006811989100806,0.011652500881281579,27707625,0,POINT (126008.9643691528 7541220.602173509),POINT (137043.7351078072 7537448.538676368),0.5292211490761606,0.47152394213112514,0.18456323760427062,0.0009080015868139022,27146914,27707667,0.3333333333333333,0.28571428571428564,0.3441735480057476,0.7795320486994886,0.7562172699918132,0.45369814328944263,0.7096576178227623,0.5372717304606679,0.7710475512920022,0,0,0,0
11,26877984,POINT (-42.62553623440965 -22.19620086128066),27117490,26877984,11.71,5.0,0.9896457765667575,0.011339156319768125,27707625,0,POINT (126106.5315243079 7540983.040136348),POINT (137043.7351078072 7537448.538676368),0.5216008469285915,0.46354530056511434,0.17661511958631287,0.00014827980929806015,27146722,27707667,0.3333333333333333,0.14285714285714285,0.3549311748038304,0.7728616022595595,0.7497650546241205,0.4388205615821311,0.7022076279932147,0.5255007825510288,0.7824330855078673,1,0,0,0
12,26877987,POINT (-42.62251954673962 -22.20146573355669),27117490,26877987,10.52,6.0,0.1813351498637602,0.002878853158904861,27707625,0,POINT (126431.8940769774 7540406.890894108),POINT (137043.7351078072 7537448.538676368),0.49987574915226773,0.4422001497989154,0.1595678253109168,0.046208527487093747,27149006,27707667,0.3333333333333333,0.14285714285714285,0.36360406663311184,0.7748684153333032,0.7517062125767556,0.4432965026971369,0.704448967778165,0.5290348012010818,0.778954554326797,0,0,0,0
13,26877988,POINT (-42.62180554439033 -22.20183450865562),27117490,26877988,31.04,16.0,0.4068119891008174,0.012298774039403078,27707625,0,POINT (126506.5730502854 7540367.775910906),POINT (137043.7351078072 7537448.538676368),0.4961267275464924,0.43952090965009843,0.15930213690887612,0.053969707239354715,27149761,27707667,0.3333333333333333,0.28571428571428564,0.33776229995566764,0.7769698974046567,0.7537389423254803,0.4479835909609542,0.7067960400767813,0.532742312333029,0.7753613615446494,0,0,0,0
14,26877989,POINT (-42.62757317905891 -22.19960732681665),27117490,26877989,18.27,11.0,0.3384196185286104,0.01255336649563276,27707625,0,POINT (125905.3085265799 7540600.404250152),POINT (137043.7351078072 7537448.538676368),0.5253146333205879,0.45921310643287283,0.16017080756795385,0.006793071552345995,27153464,27707667,0.0,0.42857142857142855,0.029793352251661076,0.7611554089159228,0.738441842411986,0.41271138740317026,0.6891333874400237,0.5050190318573221,0.803688989588431,0,0,0,0
15,26877990,POINT (-42.62992176128023 -22.19338784397377),27117490,26877990,30.44,12.0,0.5919618528610354,0.009419920880498218,27707625,0,POINT (125646.3539087354 7541284.015937608),POINT (137043.7351078072 7537448.538676368),0.5457665515312158,0.4814511117452853,0.18407981844574214,0.02083455713987496,27147186,27707667,0.0,0.14285714285714285,0.08306544837464452,0.7937620666167319,0.7699817370503561,0.485436386923783,0.7255506303388576,0.5626004415969328,0.748356647501498,0,0,0,0
