,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,EUC_DIST_UNTRS,EUC_DIST_CENT,EUC_DIST_PRIMARY,EUC_DIST_SECONDARY,TIEMPO_MIN,DISTANCIA_KM
0,101415715,1,38.275,14.0,97.79166666666666,372.0,27707534,0,POINT (143363.8919659965 7518580.694111673),POINT (151650.7712599388 7531499.6391658),15348.338989738259,14420.116797268913,7174.246301943852,7424.6568198739205,0.0,0.0
1,103455355,1,8.31,7.0,91.33333333333333,116.0,27707534,1,POINT (156545.3686460499 7524131.089982674),POINT (151650.7712599388 7531499.6391658),8846.050001909316,21618.004725404335,17768.33140014626,395.88937582992924,0.0,0.0
2,105138826,1,16.1,12.0,13.583333333333334,35.0,27707534,0,POINT (159329.4560415341 7522722.773843249),POINT (151650.7712599388 7531499.6391658),11661.713633308675,24709.571304684552,20611.624088846016,265.90806798845114,51.11666666666667,26.069000000000003
3,106512676,1,17.24,8.0,84.83333333333333,101.0,27707534,0,POINT (153744.9451893416 7526685.02927966),POINT (151650.7712599388 7531499.6391658),5250.336446581662,18214.964473010234,15155.61811177893,2825.8511513137228,61.68333333333333,27.599
4,108015624,1,19.15,9.0,158.16666666666666,180.0,27707534,0,POINT (154603.2472335487 7526545.041681215),POINT (151650.7712599388 7531499.6391658),5767.594872128098,19082.084868200054,15983.78656734752,2271.915949849469,58.98333333333333,26.695999999999998
5,108762777,1,12.8,7.0,172.25,242.0,27707534,1,POINT (157660.161836602 7524022.351174233),POINT (151650.7712599388 7531499.6391658),9592.841644252981,22710.864414696265,18884.32992515824,413.4574055253269,48.78333333333333,23.855
6,108968852,2,28.04,11.0,248.5,319.0,27707534,0,POINT (149667.2393513313 7530953.232720299),POINT (151650.7712599388 7531499.6391658),2057.415572058756,13616.78137670692,12277.751820712952,600.7862967916192,7.933333333333334,2.6460000000000004
7,111175979,1,1.202,1.4,67.95,506.0,27707534,0,POINT (158907.8118660874 7526583.334455928),POINT (151650.7712599388 7531499.6391658),8765.539935429002,23281.693314492994,20259.39811291009,1949.7869702172115,52.36666666666667,25.98
8,139258729,1,30.73,10.0,33.916666666666664,40.0,27707534,0,POINT (142743.9864377198 7521410.037044873),POINT (151650.7712599388 7531499.6391658),13458.487538647063,11701.964228330191,4841.466392524242,4577.246284741486,0.0,0.0
9,140929114,2,31.29,9.0,14.5,80.0,27707534,0,POINT (157102.2185701994 7519888.608148134),POINT (151650.7712599388 7531499.6391658),12827.093165239863,23808.152156386335,18841.202710752772,2196.7539691055636,69.65,33.871
10,143930648,1,9.7,5.0,15.0,30.0,27707534,0,POINT (161431.430756684 7527723.801504814),POINT (151650.7712599388 7531499.6391658),10484.190490132814,25592.548617934284,22910.65352769168,4563.863647495984,67.7,29.805999999999997
11,150766668,1,1.45,2.0,1.9166666666666667,23.0,27707534,0,POINT (147066.3187945795 7522523.042585984),POINT (151650.7712599388 7531499.6391658),10079.508448525983,13905.140357700591,8474.440319527454,2800.7094649389583,0.0,0.0
12,152029160,2,22.55,8.0,40.666666666666664,157.0,27707534,0,POINT (142295.7243031081 7520539.960160877),POINT (151650.7712599388 7531499.6391658),14409.422870311926,12190.006714240808,5028.288078502746,5411.808776261504,0.0,0.0
13,154081659,1,21.11235294117648,8.529411764705882,55.44607843137255,1411.0,27707534,0,POINT (156634.6094161699 7525829.021944907),POINT (151650.7712599388 7531499.6391658),7549.47299044105,21225.729939809706,17922.712924137715,965.9286936051008,51.3,24.498
14,157722925,1,12.950000000000001,10.0,119.34722222222221,914.0,27707534,0,POINT (151498.5998163476 7523099.646970769),POINT (151650.7712599388 7531499.6391658),8401.370425402089,17354.95815608294,12776.733218386682,1173.4035363247788,39.23333333333333,16.801
